gamma,common_return,fee_fraction
0.5,1.041,0.0835036895051362
0.5,1.0411194968553459,0.08352741937282304
0.5,1.0412389937106918,0.08355117339490714
0.5,1.0413584905660376,0.0835749516082871
0.5,1.0414779874213835,0.08359875404993689
0.5,1.0415974842767295,0.08362258075690532
0.5,1.0417169811320754,0.08364643176631714
0.5,1.0418364779874214,0.08367030711537315
0.5,1.0419559748427671,0.08369420684134932
0.5,1.042075471698113,0.08371813098159875
0.5,1.042194968553459,0.08374207957355007
0.5,1.042314465408805,0.08376605265470893
0.5,1.042433962264151,0.0837900502626574
0.5,1.0425534591194967,0.08381407243505512
0.5,1.0426729559748427,0.0838381192096378
0.5,1.0427924528301886,0.08386219062421973
0.5,1.0429119496855346,0.08388628671669185
0.5,1.0430314465408805,0.08391040752502288
0.5,1.0431509433962263,0.08393455308725983
0.5,1.0432704402515722,0.08395872344152788
0.5,1.0433899371069182,0.08398291862603013
0.5,1.0435094339622641,0.08400713867904874
0.5,1.04362893081761,0.08403138363894391
0.5,1.0437484276729558,0.08405565354415512
0.5,1.0438679245283018,0.08407994843320155
0.5,1.0439874213836478,0.08410426834468077
0.5,1.0441069182389937,0.08412861331727062
0.5,1.0442264150943397,0.08415298338972821
0.5,1.0443459119496854,0.08417737860089103
0.5,1.0444654088050314,0.08420179898967628
0.5,1.0445849056603773,0.08422624459508188
0.5,1.0447044025157233,0.08425071545618623
0.5,1.0448238993710692,0.08427521161214857
0.5,1.044943396226415,0.08429973310220906
0.5,1.045062893081761,0.08432427996568914
0.5,1.0451823899371069,0.08434885224199129
0.5,1.0453018867924528,0.08437344997060037
0.5,1.0454213836477988,0.0843980731910825
0.5,1.0455408805031445,0.08442272194308598
0.5,1.0456603773584905,0.08444739626634123
0.5,1.0457798742138364,0.08447209620066165
0.5,1.0458993710691824,0.08449682178594287
0.5,1.0460188679245284,0.08452157306216346
0.5,1.046138364779874,0.08454635006938527
0.5,1.04625786163522,0.0845711528477534
0.5,1.046377358490566,0.08459598143749658
0.5,1.046496855345912,0.08462083587892733
0.5,1.046616352201258,0.08464571621244188
0.5,1.0467358490566037,0.0846706224785212
0.5,1.0468553459119496,0.08469555471772994
0.5,1.0469748427672956,0.08472051297071836
0.5,1.0470943396226415,0.08474549727822078
0.5,1.0472138364779875,0.08477050768105676
0.5,1.0473333333333332,0.08479554422013147
0.5,1.0474528301886792,0.08482060693643545
0.5,1.0475723270440251,0.08484569587104507
0.5,1.047691823899371,0.08487081106512262
0.5,1.047811320754717,0.08489595255991655
0.5,1.0479308176100628,0.08492112039676158
0.5,1.0480503144654087,0.0849463146170798
0.5,1.0481698113207547,0.08497153526237922
0.5,1.0482893081761007,0.08499678237425579
0.5,1.0484088050314466,0.08502205599439239
0.5,1.0485283018867924,0.08504735616455938
0.5,1.0486477987421383,0.0850726829266153
0.5,1.0487672955974843,0.08509803632250657
0.5,1.0488867924528302,0.08512341639426768
0.5,1.0490062893081762,0.08514882318402195
0.5,1.049125786163522,0.08517425673398094
0.5,1.0492452830188679,0.08519971708644591
0.5,1.0493647798742138,0.08522520428380675
0.5,1.0494842767295598,0.08525071836854281
0.5,1.0496037735849058,0.08527625938322336
0.5,1.0497232704402515,0.0853018273705074
0.5,1.0498427672955974,0.08532742237314428
0.5,1.0499622641509434,0.08535304443397373
0.5,1.0500817610062894,0.08537869359592576
0.5,1.0502012578616353,0.08540436990202138
0.5,1.050320754716981,0.08543007339537312
0.5,1.050440251572327,0.0854558041191843
