gamma,date,common_return,fee_fraction,C_outside,C_access,log_ratio
0.5,0,1.06,0.08760649047948943,0.02761983840179541,0.022992463601511505,-0.1833678044620348
0.5,1,1.06,0.08760649047948943,0.02648280257116687,0.022936579927976885,-0.14376254986967535
0.5,2,1.06,0.08760649047948943,0.025392575503910723,0.022880832080903576,-0.10415729527731588
0.5,3,1.06,0.08760649047948943,0.024347230206814046,0.022825219730162466,-0.06455204068495642
0.5,4,1.06,0.08760649047948943,0.023344919015887252,0.0227697425464268,-0.024946786092596956
0.5,5,1.06,0.08760649047948943,0.022383870330589375,0.02271440020117033,0.014658468499762517
0.5,6,1.06,0.08760649047948943,0.023178716193899728,0.023520983100857838,0.014658468499762517
0.5,7,1.06,0.08760649047948943,0.024001786843053225,0.02435620756573336,0.014658468499762517
0.5,8,1.06,0.08760649047948943,0.024854084533421188,0.025221090650902733,0.014658468499762517
0.5,9,1.06,0.08760649047948943,0.025736647110222707,0.026116685526854543,0.014658468499762517
0.5,10,1.06,0.08760649047948943,0.026650549272311398,0.027044082761908624,0.014658468499762517
0.5,11,1.06,0.08760649047948943,0.027596903880839352,0.028004411650204133,0.014658468499762517
0.5,12,1.06,0.08760649047948943,0.028576863314391025,0.028998841586844085,0.014658468499762517
0.5,13,1.06,0.08760649047948943,0.029591620872237868,0.03002858349187094,0.014658468499762517
0.5,14,1.06,0.08760649047948943,0.03064241222742202,0.031094891284807236,0.014658468499762517
0.5,15,1.06,0.08760649047948943,0.03173051693143886,0.032199063411556844,0.014658468499762517
1.0,0,1.06,0.08400698125550987,0.040000000000000036,0.036639720749779635,-0.08774653579503046
1.0,1,1.06,0.08400698125550987,0.03916800000000003,0.03659516684934791,-0.06794390849885074
1.0,2,1.06,0.08400698125550987,0.03835330560000003,0.036550667126459095,-0.048141281202671
1.0,3,1.06,0.08400698125550987,0.03755555684352003,0.03650622151523333,-0.02833865390649127
1.0,4,1.06,0.08400698125550987,0.03677440126117481,0.03646182994987079,-0.00853602661031154
1.0,5,1.06,0.08400698125550987,0.03600949371494237,0.036417492364651756,0.011266600685868197
1.0,6,1.06,0.08400698125550987,0.03664326080432536,0.03705844023026962,0.011266600685868197
1.0,7,1.06,0.08400698125550987,0.03728818219448149,0.03771066877832237,0.011266600685868197
1.0,8,1.06,0.08400698125550987,0.03794445420110436,0.03837437654882084,0.011266600685868197
1.0,9,1.06,0.08400698125550987,0.03861227659504381,0.039049765576080094,0.011266600685868197
1.0,10,1.06,0.08400698125550987,0.03929185266311657,0.039737041450219106,0.011266600685868197
1.0,11,1.06,0.08400698125550987,0.03998338926998742,0.04043641337974296,0.011266600685868197
1.0,12,1.06,0.08400698125550987,0.0406870969211392,0.04114809425522643,0.011266600685868197
1.0,13,1.06,0.08400698125550987,0.04140318982695126,0.041872300714118425,0.011266600685868197
1.0,14,1.06,0.08400698125550987,0.0421318859679056,0.0426092532066869,0.011266600685868197
1.0,15,1.06,0.08400698125550987,0.04287340716094074,0.0433591760631246,0.011266600685868197
2.0,0,1.06,0.08251939144215095,0.04446732964706683,0.04259312422692793,-0.04306191718178692
2.0,1,1.06,0.08251939144215095,0.044002439285763896,0.04256721973003546,-0.033160603533697056
2.0,2,1.06,0.08251939144215095,0.04354240919040784,0.04254133098786799,-0.023259289885607187
2.0,3,1.06,0.08251939144215095,0.04308718854862,0.04251545799084374,-0.013357976237517322
2.0,4,1.06,0.08251939144215095,0.04263672707924736,0.042489600729386734,-0.0034566625894274575
2.0,5,1.06,0.08251939144215095,0.042190975026808714,0.042463759193926864,0.006444651058662411
2.0,6,1.06,0.08251939144215095,0.0425606361922627,0.04283581038978594,0.006444651058662411
2.0,7,1.06,0.08251939144215095,0.04293353618728055,0.04321112135573998,0.006444651058662411
2.0,8,1.06,0.08251939144215095,0.043309703389246515,0.04358972065264617,0.006444651058662411
2.0,9,1.06,0.08251939144215095,0.04368916642417669,0.043971637091601005,0.006444651058662411
2.0,10,1.06,0.08251939144215095,0.04407195416889726,0.04435689973613275,0.006444651058662411
2.0,11,1.06,0.08251939144215095,0.04445809575324219,0.04474553790441318,0.006444651058662411
2.0,12,1.06,0.08251939144215095,0.044847620562269847,0.04513758117148869,0.006444651058662411
2.0,13,1.06,0.08251939144215095,0.045240558238499255,0.04553305937153086,0.006444651058662411
2.0,14,1.06,0.08251939144215095,0.0456369386841658,0.04593200260010688,0.006444651058662411
2.0,15,1.06,0.08251939144215095,0.04603679206349685,0.046334441216469804,0.006444651058662411
