utility,beta,c,epsilon,curvature,fee,c_initial,c_later,derivative,finite_difference,derivative_error,compensation_error
low,0.9,0.4,0.001,0.573579741836301,0.003596716832258373,0.3993731711014296,0.40006968246426416,0.00024045678380691431,0.00024045678559403427,1.7871199583120029e-12,3.552713678800501e-15
low,0.9,0.4,0.01,0.573579741836301,0.03567437077245117,0.39380360598682174,0.4006919159414593,0.002367557074601265,0.00236755708371561,9.114345129318524e-12,0.0
low,0.9,1.4,0.001,0.5269232005734349,0.012588605926685759,1.397612021381334,1.400265463562741,0.0010162782271326168,0.0010162782082545618,1.8878054935250743e-11,2.4868995751603507e-14
low,0.9,1.4,0.01,0.5269232005734349,0.12486978559175732,1.3764101755828995,1.4026341376903992,0.009999601021781818,0.009999601040533435,1.875161657893809e-11,1.0658141036401503e-14
low,0.9,3.0,0.001,0.4966023461764585,0.026975740161073958,2.9945707667546126,3.0006035496197105,0.002458670163116024,0.0024586701385942433,2.4521780873226762e-11,7.105427357601002e-15
low,0.9,3.0,0.01,0.4966023461764585,0.2675933638599872,2.946393071410048,3.005985966708584,0.024180116773387345,0.02418011671778686,5.560048602082368e-11,0.0
low,0.96,0.4,0.001,0.573579741836301,0.009590743690656822,0.39933143654727127,0.4000278707325764,0.0002735549106483862,0.00027355490761493684,3.0334493597572454e-12,7.105427357601002e-15
low,0.96,0.4,0.01,0.573579741836301,0.09508234757016609,0.3933958010224124,0.4002765445800623,0.0026906816988849585,0.002690681686345897,1.2539061369082338e-11,7.105427357601002e-15
low,0.96,1.4,0.001,0.5269232005734349,0.033567706383394125,1.3974530577628395,1.4001061756287339,0.0011561519950605112,0.0011561519386305008,5.643001040403495e-11,4.263256414560601e-14
low,0.96,1.4,0.01,0.5269232005734349,0.3327983221114792,1.3748604751994062,1.4010526922798334,0.011363018964329183,0.011363018970200756,5.871572325566454e-12,2.842170943040401e-14
low,0.96,3.0,0.001,0.4966023461764585,0.07193096580155611,2.9942093994145598,3.0002413956007774,0.0027970420795264965,0.002797042135682659,5.615616261930856e-11,1.4210854715202004e-14
low,0.96,3.0,0.01,0.4966023461764585,0.7131555051534519,2.9428760285096978,3.002392006291676,0.027474784164885743,0.027474784154435383,1.0450359327895953e-11,0.0
high,0.9,0.4,0.001,1.496105610770724,0.0035965237225519253,0.3997595734965607,0.4000267274092964,-0.00010730068192565858,-0.00010730067834252566,3.5831329223134922e-12,0.0
high,0.9,0.4,0.01,1.496105610770724,0.03565541142647577,0.3976134180435453,0.400266498026142,-0.0010608072775098224,-0.0010608072831264082,5.616585755513492e-12,0.0
high,0.9,1.4,0.001,1.4472700079743137,0.012587847213394454,1.399130120342247,1.4000967016085335,-0.0003500055051827962,-0.000350005535665332,3.048253576637405e-11,0.0
high,0.9,1.4,0.01,1.4472700079743137,0.12479533659437791,1.3913658755398859,1.4009641306382656,-0.003459976990269959,-0.003459976993802627,3.532668081673851e-12,0.0
high,0.9,3.0,0.001,1.4202006740322093,0.02697397606292995,2.998100452555094,3.0002111663281505,-0.0007180469430477066,-0.0007180469996370675,5.658936090991579e-11,3.552713678800501e-15
high,0.9,3.0,0.01,1.4202006740322093,0.26742032601791266,2.9811465637190797,3.0021052712628484,-0.007097944379572033,-0.007097944472178597,9.260656391035793e-11,0.0
high,0.96,0.4,0.001,1.496105610770724,0.009590537724006865,0.3997435479275355,0.40001069084428353,-0.0001220795037029492,-0.00012207951094467262,7.241723415591164e-12,2.842170943040401e-14
high,0.96,0.4,0.01,1.496105610770724,0.09506214088820641,0.39745459551752493,0.4001065873429255,-0.001206487339399453,-0.0012064873056161218,3.3783331167269726e-11,2.842170943040401e-14
high,0.96,1.4,0.001,1.4472700079743137,0.0335668971635954,1.3990721399787867,1.400038680159186,-0.00039821224526740106,-0.0003982122365187024,8.7486986513792e-12,0.0
high,0.96,1.4,0.01,1.4472700079743137,0.3327189822982035,1.3907914142119517,1.400385604146864,-0.003935085240531463,-0.003935085235440283,5.09118008168441e-12,0.0
high,0.96,3.0,0.001,1.4202006740322093,0.07192908428172018,2.9979738428866267,3.000084465412687,-0.0008169439175980221,-0.0008169438814320529,3.616596919945453e-11,7.105427357601002e-15
high,0.96,3.0,0.01,1.4202006740322093,0.7129711112554418,2.979892317322077,3.0008419973806957,-0.008072540834988776,-0.00807254092904941,9.406063428141209e-11,0.0
log,0.9,0.4,0.001,1.0,0.003596583302786893,0.3996403416697213,0.40003998201139096,0.0,-3.774758283725532e-11,3.774758283725532e-11,2.1316282072803006e-14
log,0.9,0.4,0.01,1.0,0.03566127407930253,0.3964338725920697,0.4003982113179904,0.0,0.0,0.0,2.3092638912203256e-14
log,0.9,1.4,0.001,1.0,0.012588041559748575,1.398741195844025,1.4001399370398688,0.0,-1.199040866595169e-10,1.199040866595169e-10,1.4210854715202004e-14
log,0.9,1.4,0.01,1.0,0.12481445927762813,1.3875185540722368,1.4013937396129592,0.0,1.0658141036401503e-10,1.0658141036401503e-10,2.5757174171303632e-14
log,0.9,3.0,0.001,1.0,0.026974374770784237,2.997302562522922,3.000299865085444,0.0,1.3322676295501878e-10,1.3322676295501878e-10,2.3092638912203256e-14
log,0.9,3.0,0.01,1.0,0.2674595555948116,2.9732540444405187,3.0029865848849235,0.0,0.0,0.0,1.2434497875801753e-14
log,0.96,0.4,0.001,1.0,0.009590601273378851,0.3996163759490649,0.4000159923250139,0.0,-8.881784197001252e-12,8.881784197001252e-12,3.552713678800501e-15
log,0.96,0.4,0.01,1.0,0.09506839156531122,0.39619726433738756,0.40015923698076145,0.0,-8.881784197001252e-12,8.881784197001252e-12,3.552713678800501e-15
log,0.96,1.4,0.001,1.0,0.033567104456828645,1.3986573158217266,1.4000559731375481,0.0,0.0,0.0,3.552713678800501e-15
log,0.96,1.4,0.01,1.0,0.3327393704785919,1.386690425180856,1.4005573294326648,0.0,0.0,0.0,1.7763568394002505e-15
log,0.96,3.0,0.001,1.0,0.07192950955042932,2.997122819617983,3.0001199424376,0.0,2.842170943040401e-10,2.842170943040401e-10,2.842170943040401e-14
log,0.96,3.0,0.01,1.0,0.7130129367398439,2.971479482530406,3.00119427735571,0.0,-7.105427357601002e-11,7.105427357601002e-11,0.0
crossing,0.9,0.4,0.001,1.214285714285714,0.003596551591392938,0.399703806272863,0.4000329268642088,-5.709514938715821e-05,-5.709515082941152e-05,1.442253312763063e-12,1.7763568394002505e-15
crossing,0.9,0.4,0.01,1.214285714285714,0.035658150324211935,0.39706273766119643,0.400327989237193,-0.0005637194140156844,-0.0005637194133711887,6.444957414974972e-13,1.7763568394002505e-15
crossing,0.9,1.4,0.001,0.9166666666666666,0.01258809866953392,1.3986269677111807,1.4001526353947669,0.00010294747298867506,0.00010294746832784085,4.6608342050202464e-12,1.7763568394002505e-15
crossing,0.9,1.4,0.01,0.9166666666666666,0.12482002621766064,1.3864043715567191,1.4015181509164305,0.0010167141491978576,0.001016714143986519,5.211338522173592e-12,4.440892098500626e-16
crossing,0.9,3.0,0.001,0.7499999999999999,0.026974823717548446,2.9964043748824505,3.000399713577933,0.0008086921826807564,0.0008086921354788501,4.7201906337550337e-11,3.552713678800501e-15
crossing,0.9,3.0,0.01,0.7499999999999999,0.2675035175184135,2.964432933914738,3.0039715760058345,0.007970715150027488,0.007970715074634427,7.539306158543813e-11,8.881784197001252e-15
crossing,0.96,0.4,0.001,1.214285714285714,0.009590567448814369,0.39968406877371637,0.40001317038088524,-6.495937288382068e-05,-6.495938453809913e-05,1.1654278453746003e-11,0.0
crossing,0.96,0.4,0.01,1.214285714285714,0.09506506046149887,0.3968677813199281,0.4001311595750316,-0.0006411696450530425,-0.0006411696373831433,7.669899220949516e-12,3.552713678800501e-15
crossing,0.96,1.4,0.001,0.9166666666666666,0.03356716536161741,1.398535509487444,1.4000610509365035,0.00011711048477405011,0.00011711048131246571,3.4615843991139122e-12,5.329070518200751e-15
crossing,0.96,1.4,0.01,0.9166666666666666,0.3327452965489073,1.3855055748659477,1.4006069424946246,0.0011547503169065526,0.0011547503575570772,4.065052461310614e-11,1.7763568394002505e-15
crossing,0.96,3.0,0.001,0.7499999999999999,0.0719299883661364,2.996164934708766,3.0001598742500835,0.0009199924932562904,0.0009199923667324583,1.2652383210142587e-10,2.1316282072803006e-14
crossing,0.96,3.0,0.01,0.7499999999999999,0.7130597704643264,2.9620880532847553,3.0015875290838925,0.009057223644745477,0.009057223664399316,1.9653839319899724e-11,3.197442310920451e-14
