gamma,EIS,common_return,willingness_to_pay_share,fee_share,net_value,fund,optimal_initial_investment_share,limiting_consumption_growth,innovation_growth_attribution
0.5,2.0,1.041,0.0835036895051362,0.0839,-0.002051745609199074,False,0.9592819178798231,-0.0012804097748467657,0.0
0.5,2.0,1.06,0.08760649047948943,0.0839,0.02441910476106912,True,0.9747998387081965,0.03489382720744141,0.0
1.0,1.0,1.041,0.08400698125550987,0.0839,0.0029196458513922607,True,0.96,-0.0006402048874233828,0.0
1.0,1.0,1.06,0.08400698125550987,0.0839,0.0029196458513922607,True,0.96,0.017446913603720703,0.0
2.0,0.5,1.041,0.08425012907232457,0.0839,0.26558207285074786,True,0.9603580660295444,-0.0003201024437116914,0.0
2.0,0.5,1.06,0.08251939144215095,0.0839,-0.7621589922932799,False,0.9535759951440518,0.008723456801860352,0.0
