T_old,T_new,R_old,R_new,p_old,p_arrival_only,p_new,quality_component,arrival_component,total_log_burden_change
5,4,1.041,1.06,0.0835036895051362,0.06878908453052812,0.07166868596069642,0.003097110338507583,-0.015927757222310865,-0.012830646883803282
10,9,1.041,1.06,0.1449025701034753,0.13408778818926603,0.14407964955373176,0.011606208112531352,-0.012568115840959987,-0.0009619077284286348
10,9,1.041,1.0613394211622422,0.1449025701034753,0.13408778818926603,0.1449025701034754,0.012568115840960126,-0.012568115840959987,1.3877787807814457e-16
10,9,1.041,1.07,0.1449025701034753,0.13408778818926603,0.15069772102048828,0.019368367236352158,-0.012568115840959987,0.006800251395392171
