T,payment_low,payment_high,change,resource_ceiling,remaining_room,relative_change
5,0.0835036895051362,0.08760649047948943,0.004102800974353227,0.09426919017008419,0.010765500664947983,0.04913317002718627
10,0.1449025701034753,0.1564869238109785,0.011584353707503214,0.17965170012484488,0.03474913002136959,0.07994581254998305
20,0.223108043647991,0.24886077288270828,0.025752729234717275,0.32702866689194254,0.10392062324395154,0.11542716620001688
40,0.28774674184623017,0.3201144463200498,0.03236770447381965,0.547109584814764,0.25936284296853385,0.11248678009746751
